"date","manner_of_death","armed","age","gender","race","state","signs_of_mental_illness","threat_level","flee","body_camera","longitude","latitude","year"
2019-12-11,"shot","gun",68,"M",0,"PA","True","attack","Not fleeing","False",-77.265,41.988,"2019"
2019-12-11,"shot","unarmed",31,"M",0,"TX","False","attack","Not fleeing","False",-95.109,29.456,"2019"
2019-12-12,"shot","gun",24,"M",1,"MO","False","other","Foot","False",-90.246,38.564,"2019"
2019-12-12,"shot","knife",30,"M",0,"OK","False","attack","Car","False",-98.976,35.326,"2019"
2019-12-12,"shot","gun",34,"M",1,"CA","False","other","Not fleeing","True",-117.903,33.838,"2019"
2019-12-12,"shot","gun",23,"M",0,"AL","True","attack","Not fleeing","False",-85.644,31.454,"2019"
2019-12-12,"shot","toy weapon",43,"M",0,"WA","False","other","Not fleeing","False",-122.186,47.452,"2019"
2019-12-12,"shot","knife",22,"M",1,"FL","False","attack","Not fleeing","False",-82.402,28.021,"2019"
2019-12-14,"shot","gun and car",22,"M",1,"FL","False","attack","Car","True",-81.633,30.357,"2019"
2019-12-14,"shot","gun",42,"M",0,"AZ","False","attack","Not fleeing","False",-110.969,32.269,"2019"
2019-12-14,"shot","gun",65,"M",1,"MI","False","attack","Not fleeing","False",-83.297,42.394,"2019"
2019-12-14,"shot","knife",18,"M",0,"WA","False","attack","Not fleeing","False",-119.112,46.245,"2019"
2019-12-15,"shot","gun",23,"M",0,"WI","False","attack","Car","False",-87.971,43.105,"2019"
2019-12-15,"shot","gun",52,"M",0,"MN","False","attack","Not fleeing","True",-93.313,45.012,"2019"
2019-12-15,"shot","gun",40,"M",0,"OH","True","other","Foot","False",-81.467,41.096,"2019"
2019-12-15,"shot","gun",27,"M",0,"TX","False","attack","Not fleeing","False",-97.538,25.935,"2019"
2019-12-16,"shot","gun",34,"M",0,"HI","False","attack","Foot","False",-157.882,21.335,"2019"
2019-12-16,"shot","gun",25,"M",0,"CA","False","attack","Foot","False",-118.192,34.032,"2019"
2019-12-16,"shot","undetermined",28,"M",0,"CA","False","undetermined","Car","False",-117.334,34.162,"2019"
2019-12-17,"shot","gun",27,"M",0,"FL","False","attack","Car","False",-86.621,30.464,"2019"
2019-12-17,"shot","gun",41,"M",0,"MT","False","attack","Foot","False",-111.263,47.497,"2019"
2019-12-18,"shot","gun",29,"M",0,"OK","False","attack","Not fleeing","False",-96.007,36.13,"2019"
2019-12-19,"shot","knife",29,"M",0,"CA","True","attack","Not fleeing","True",-121.752,38.572,"2019"
2019-12-19,"shot","unknown weapon",47,"M",0,"CO","True","attack","Not fleeing","False",-105.142,39.752,"2019"
2019-12-19,"shot","gun",28,"M",1,"NC","False","attack","Foot","False",-81.505,35.86,"2019"
2019-12-19,"shot","gun",38,"M",0,"FL","False","attack","Foot","False",-81.685,28.853,"2019"
2019-12-19,"shot and Tasered","gun",21,"M",1,"NY","False","attack","Foot","False",-73.238,40.783,"2019"
2019-12-20,"shot","gun",44,"M",0,"IN","False","attack","Not fleeing","False",-84.949,40.049,"2019"
